calle,colonia,geometry,municipio
Calle Profesor Moisés Sáenz,PARQUE INDUSTRIAL RHON POLENC,"POLYGON Z ((-100.18136999992538 25.77433000042936 0, -100.18340000000984 25.776559999844267 0, -100.1839300001692 25.777110000026653 0, -100.18407000033011 25.77727000021048 0, -100.18352000014772 25.777419999933215 0, -100.18255000038204 25.777689999793836 0, -100.18208999985347 25.77780999993172 0, -100.18013000029913 25.778409999721873 0, -100.17960000013977 25.777860000438807 0, -100.17880000011974 25.77694999984277 0, -100.17855000028214 25.776700000005178 0, -100.17845999972906 25.776559999844267 0, -100.1812499997875 25.774440000106097 0, -100.18136999992538 25.77433000042936 0))",
Calle Jardín de las Delicias,PARQUE INDUSTRIAL UCAR,"POLYGON Z ((-100.17022000015271 25.767790000108562 0, -100.17110999982646 25.76762000036291 0, -100.17326999961062 25.7668699999507 0, -100.17432000036757 25.766459999929225 0, -100.17806000016873 25.7647700002355 0, -100.17859999988991 25.764549999982705 0, -100.17870000000482 25.764699999705385 0, -100.17880999968162 25.765000000050122 0, -100.17906000041853 25.76604999990775 0, -100.17929999979498 25.76711999978835 0, -100.17958000011674 25.768220000153065 0, -100.17974000030063 25.76871000026648 0, -100.17991000004633 25.768869999550986 0, -100.18081999974305 25.769270000010636 0, -100.18089000027317 25.769350000102577 0, -100.18173000033909 25.77064000023597 0, -100.18175000036206 25.770780000396883 0, -100.18239000019821 25.771759999724395 0, -100.18344000005578 25.773510000386352 0, -100.18381000003131 25.77399999960045 0, -100.18522000030265 25.77522999966493 0, -100.18537999958716 25.775289999733843 0, -100.18578999960863 25.776160000283937 0, -100.18590999974651 25.776289999983703 0, -100.18586000013875 25.776350000052616 0, -100.18580000006978 25.776330000029645 0, -100.18567000037007 25.776330000029645 0, -100.1851699997955 25.776700000005178 0, -100.18504999965762 25.776789999658945 0, -100.18459000002832 25.777020000372886 0, -100.18422000005279 25.77717999965745 0, -100.18407000033011 25.77727000021048 0, -100.1839300001692 25.777110000026653 0, -100.18340000000984 25.776559999844267 0, -100.18136999992538 25.77433000042936 0, -100.1812499997875 25.774440000106097 0, -100.17845999972906 25.776559999844267 0, -100.17855000028214 25.776700000005178 0, -100.17880000011974 25.77694999984277 0, -100.17960000013977 25.777860000438807 0, -100.18013000029913 25.778409999721873 0, -100.17945999997886 25.778640000435814 0, -100.17847999975203 25.77897999992723 0, -100.17839000009826 25.778950000342434 0, -100.17664000033562 25.77694999984277 0, -100.17047999955219 25.768129999599978 0, -100.17022000015271 25.767790000108562 0))",
Calle Ciudad del Limón,INDUSTRIAL MONTERREY,"POLYGON Z ((-100.17112999984948 25.781259999849283 0, -100.17124999998737 25.781170000195516 0, -100.17127700033313 25.781012000103885 0, -100.17147000024016 25.780860000288953 0, -100.16895000004234 25.778130000299427 0, -100.16792999976951 25.77700999991174 0, -100.16761999986295 25.77672000002815 0, -100.16732999997936 25.77645000016753 0, -100.16683000030412 25.77577999984726 0, -100.16603000028414 25.774720000427862 0, -100.16585000007728 25.774700000404835 0, -100.16496999996536 25.773720000178002 0, -100.16355000013226 25.77218999976884 0, -100.16336000036358 25.771950000392394 0, -100.16336999992541 25.77179000020851 0, -100.16299999994988 25.771699999655425 0, -100.16236000011378 25.77070000030494 0, -100.16102000037256 25.768830000404364 0, -100.16125000018724 25.768790000358422 0, -100.16172000027763 25.76877999989722 0, -100.16187000000036 25.76881999994322 0, -100.16211000027613 25.769100000264984 0, -100.1621999999299 25.769100000264984 0, -100.16230000004481 25.769060000218985 0, -100.16238999969858 25.768929999619957 0, -100.16246999979052 25.768659999759336 0, -100.16250999983646 25.768619999713394 0, -100.1625899999284 25.76861000015157 0, -100.16617000044499 25.76836000031392 0, -100.16667999968212 25.76830999980683 0, -100.16823000011425 25.76820999969192 0, -100.16843000034407 25.768200000130093 0, -100.16989000022318 25.767850000177532 0, -100.17022000015271 25.767790000108562 0, -100.17047999955219 25.768129999599978 0, -100.17664000033562 25.77694999984277 0, -100.17839000009826 25.778950000342434 0, -100.17847999975203 25.77897999992723 0, -100.17765999970908 25.779269999810822 0, -100.17535999976405 25.779980000177034 0, -100.17502000027264 25.780080000291946 0, -100.17488999967361 25.780120000337888 0, -100.17455999974402 25.78021999955348 0, -100.17112999984948 25.781259999849283 0))",
Calle Jiquilpan,PARQUE INDUSTRIAL KRONOS,"POLYGON Z ((-100.15875999957416 25.77481000008163 0, -100.15815000022218 25.773900000384856 0, -100.15782000029265 25.77341000027144 0, -100.1578099998315 25.773359999764352 0, -100.15714999997238 25.772439999606434 0, -100.1567399999509 25.77189999988525 0, -100.15558999997836 25.770379999937234 0, -100.15503999979603 25.76974000010108 0, -100.15470000030462 25.76931999961846 0, -100.15441999998285 25.76890000003516 0, -100.15476999993541 25.768889999573958 0, -100.15778999980847 25.76875999987425 0, -100.16102000037256 25.768830000404364 0, -100.16236000011378 25.77070000030494 0, -100.16299999994988 25.771699999655425 0, -100.16336999992541 25.77179000020851 0, -100.16336000036358 25.771950000392394 0, -100.16355000013226 25.77218999976884 0, -100.16496999996536 25.773720000178002 0, -100.16585000007728 25.774700000404835 0, -100.16603000028414 25.774720000427862 0, -100.16683000030412 25.77577999984726 0, -100.16732999997936 25.77645000016753 0, -100.16761999986295 25.77672000002815 0, -100.16792999976951 25.77700999991174 0, -100.16895000004234 25.778130000299427 0, -100.17147000024016 25.780860000288953 0, -100.17127700033313 25.781012000103885 0, -100.17124999998737 25.781170000195516 0, -100.17112999984948 25.781259999849283 0, -100.16891999955817 25.78189999968538 0, -100.16806999993042 25.782150000422348 0, -100.16691999995788 25.782509999936735 0, -100.16519000021816 25.783029999634948 0, -100.16509000010325 25.783060000119065 0, -100.16486999985045 25.78312999974986 0, -100.16480000021966 25.78314999977283 0, -100.1643100001063 25.78248000035188 0, -100.16330000029461 25.780920000357867 0, -100.16250000027463 25.779750000362412 0, -100.16242000018269 25.779710000316413 0, -100.16221000039104 25.779499999625443 0, -100.16203000018419 25.779369999925734 0, -100.16162999972454 25.77910999962694 0, -100.16133999984095 25.77891999985826 0, -100.16102999993439 25.778659999559522 0, -100.16084999972753 25.778460000229018 0, -100.16072999958965 25.77821000039137 0, -100.16070999956668 25.77807999979234 0, -100.16072999958965 25.77791000004663 0, -100.16078999965862 25.777740000300923 0, -100.16090000023468 25.777609999701895 0, -100.16082000014273 25.777509999586982 0, -100.15953999957117 25.775830000354404 0, -100.15946000037854 25.77573000023949 0, -100.15932999977952 25.77559000007858 0, -100.15875999957416 25.77481000008163 0))",
Calle Ixtapa,PARQUE INDUSTRIAL PIMSA SUR,"POLYGON Z ((-100.16796999981551 25.764240000076086 0, -100.16831999976802 25.764260000099114 0, -100.1687000002047 25.764380000236997 0, -100.16977999964712 25.764340000190998 0, -100.17036000031362 25.76436999977585 0, -100.1709400000808 25.76440000025997 0, -100.17133999964113 25.76442000028294 0, -100.17151999984799 25.764389999798823 0, -100.17202000042255 25.76426999966094 0, -100.17348999986348 25.763919999708378 0, -100.17410000011478 25.763769999985698 0, -100.17422000025266 25.7637299999397 0, -100.17494999974252 25.765080000142063 0, -100.17498999978852 25.765240000325946 0, -100.17498999978852 25.765499999725364 0, -100.1749400001807 25.76569999995519 0, -100.17482000004281 25.765960000253983 0, -100.17471000036608 25.766080000391867 0, -100.17447000009031 25.766230000114604 0, -100.17434999995237 25.766350000252487 0, -100.17432000036757 25.766459999929225 0, -100.17326999961062 25.7668699999507 0, -100.17110999982646 25.76762000036291 0, -100.17022000015271 25.767790000108562 0, -100.16989000022318 25.767850000177532 0, -100.16843000034407 25.768200000130093 0, -100.16823000011425 25.76820999969192 0, -100.16667999968212 25.76830999980683 0, -100.16617000044499 25.76836000031392 0, -100.1625899999284 25.76861000015157 0, -100.16250999983646 25.768619999713394 0, -100.16246999979052 25.768659999759336 0, -100.16238999969858 25.768929999619957 0, -100.16230000004481 25.769060000218985 0, -100.1621999999299 25.769100000264984 0, -100.16211000027613 25.769100000264984 0, -100.16187000000036 25.76881999994322 0, -100.16172000027763 25.76877999989722 0, -100.16125000018724 25.768790000358422 0, -100.16102000037256 25.768830000404364 0, -100.15778999980847 25.76875999987425 0, -100.15476999993541 25.768889999573958 0, -100.15441999998285 25.76890000003516 0, -100.15433999989091 25.76877999989722 0, -100.1512399999259 25.764679999682414 0, -100.15146999974053 25.76450000037488 0, -100.15177000008526 25.764260000099114 0, -100.15203000038406 25.76354000017102 0, -100.15329999959516 25.763429999594962 0, -100.15341999973305 25.763420000033136 0, -100.15538000018671 25.763250000287428 0, -100.15579000020819 25.763190000218515 0, -100.15686000008878 25.7631199996884 0, -100.15731000015626 25.763079999642457 0, -100.15772000017773 25.763050000057603 0, -100.15817000024515 25.763030000034632 0, -100.15856000024365 25.762999999550516 0, -100.15963999968608 25.76290999989675 0, -100.16008000019173 25.76286999985075 0, -100.16061999991291 25.762840000265953 0, -100.16090000023468 25.762829999804808 0, -100.16193000006928 25.762860000288924 0, -100.16228999958366 25.763050000057603 0, -100.16406000026865 25.764030000284436 0, -100.16400000019968 25.76356000019399 0, -100.16396999971556 25.763440000056107 0, -100.16396000015374 25.763379999987194 0, -100.16414000036059 25.76346999964096 0, -100.16425999959915 25.76360000023999 0, -100.16441000022121 25.763970000215522 0, -100.164439999806 25.764010000261464 0, -100.1644900003131 25.76403999984626 0, -100.16486999985045 25.764050000307407 0, -100.16613999996088 25.764130000399348 0, -100.1665600004435 25.7641599999842 0, -100.16796999981551 25.764240000076086 0))",
Calle Poza Rica,BUROCRATAS MUNICIPALES,"POLYGON Z ((-100.19470000040457 25.78222999961497 0, -100.19477999959713 25.782200000030116 0, -100.19514999957266 25.78201999982332 0, -100.19600000009979 25.781589999778816 0, -100.19669000044303 25.781250000287457 0, -100.19680000011977 25.78168999989373 0, -100.19688999977353 25.782079999892233 0, -100.19700999991142 25.78244000030594 0, -100.19715000007227 25.782799999820327 0, -100.19550000042454 25.783639999886248 0, -100.19540999987146 25.783690000393392 0, -100.19401000006133 25.784399999860284 0, -100.19390999994641 25.784000000299955 0, -100.19394000043053 25.783559999794306 0, -100.19401000006133 25.783100000165064 0, -100.19407999969206 25.782560000443823 0, -100.19427999992189 25.782469999890736 0, -100.19470000040457 25.78222999961497 0))",
Calle Jardín de Tallerías,CASAS REALES DE APODACA,"POLYGON Z ((-100.20049999987492 25.77421000029142 0, -100.20096999996537 25.77409999971536 0, -100.2016899998934 25.773299999695382 0, -100.20189000012329 25.77298999978882 0, -100.20228000012173 25.772659999859286 0, -100.20271000016623 25.772289999883753 0, -100.20343000009427 25.771939999931192 0, -100.20417999960716 25.771799999770337 0, -100.20540999967159 25.771779999747366 0, -100.205899999785 25.77179000020851 0, -100.20630000024465 25.77181999979331 0, -100.20673999985098 25.77181999979331 0, -100.2071600003336 25.77171000011657 0, -100.20856999970556 25.771400000210008 0, -100.21004000004581 25.770859999589447 0, -100.21065999985893 25.770569999705913 0, -100.21104000029561 25.770299999845292 0, -100.21139999981 25.770040000445817 0, -100.21199999960015 25.769599999940226 0, -100.21258999982848 25.76918000035687 0, -100.21314999957269 25.76875999987425 0, -100.21332000021766 25.768960000104073 0, -100.21367000017023 25.769570000355372 0, -100.21420999989141 25.770569999705913 0, -100.21506000041853 25.771970000415365 0, -100.21636999967558 25.773510000386352 0, -100.21749999962515 25.774990000288426 0, -100.21636999967558 25.7754400003559 0, -100.21539999990989 25.776100000215024 0, -100.21463999993591 25.776860000189004 0, -100.21352000044749 25.778050000207486 0, -100.21192999996936 25.779039999996144 0, -100.20934000014074 25.78039000019851 0, -100.20856000014373 25.78045000026748 0, -100.20729999959514 25.77998999973886 0, -100.20591999980797 25.77959000017853 0, -100.2054800002017 25.779429999994647 0, -100.205159999834 25.779369999925734 0, -100.2048299999044 25.779369999925734 0, -100.2036300003241 25.779289999833793 0, -100.20316999979548 25.779289999833793 0, -100.20291999995789 25.779309999856764 0, -100.202759999774 25.77938000038688 0, -100.20257000000532 25.779389999948705 0, -100.20242999984447 25.77934000034088 0, -100.20220999959167 25.779329999879735 0, -100.20137999998684 25.779490000063618 0, -100.20049999987492 25.779900000085092 0, -100.19947999960215 25.780430000244507 0, -100.19910000006479 25.780579999967188 0, -100.19883000020417 25.780689999643926 0, -100.19815000032213 25.780840000265982 0, -100.19782000039254 25.780920000357867 0, -100.19686999975056 25.781210000241458 0, -100.19633000002932 25.78039000019851 0, -100.19589000042305 25.779599999740356 0, -100.1954200003326 25.778859999789347 0, -100.19495000024216 25.77805999976931 0, -100.1944499996676 25.777239999726362 0, -100.19530999975655 25.776829999704887 0, -100.19550000042454 25.776709999567004 0, -100.1979799996771 25.775469999940697 0, -100.20037000017521 25.774259999899243 0, -100.20049999987492 25.77421000029142 0))",
Calle Ciudad Del Maíz,FRACC SANTA ROSA 1ER SECT,"POLYGON Z ((-100.1916999996551 25.78371999997819 0, -100.1925700002052 25.783289999933743 0, -100.19339000024814 25.78287999991221 0, -100.19407999969206 25.782560000443823 0, -100.19401000006133 25.783100000165064 0, -100.19394000043053 25.783559999794306 0, -100.19390999994641 25.784000000299955 0, -100.19401000006133 25.784399999860284 0, -100.19403999964612 25.784470000390343 0, -100.19374999976253 25.78464000013605 0, -100.19259999978999 25.785190000318437 0, -100.19265000029714 25.785279999972204 0, -100.19197999997687 25.785640000385854 0, -100.19171999967807 25.785340000041117 0, -100.1915000003246 25.78501999967341 0, -100.19083999956615 25.784170000045606 0, -100.1916999996551 25.78371999997819 0))",
Calle Jaumave,BENITO JUAREZ,"POLYGON Z ((-100.18530999995636 25.78780999973185 0, -100.18514000021071 25.788219999753323 0, -100.18491000039603 25.788839999566505 0, -100.1847500002122 25.789289999633922 0, -100.18327999987196 25.789090000303418 0, -100.18327999987196 25.788640000236 0, -100.18327999987196 25.788509999636915 0, -100.18325000028716 25.78829000028344 0, -100.18323999982596 25.78817999970738 0, -100.18313999971105 25.788110000076585 0, -100.18366999987046 25.787780000147052 0, -100.18409000035308 25.78755000033243 0, -100.18413000039902 25.78753000030946 0, -100.18442999984444 25.787399999710374 0, -100.18483999986597 25.787209999941695 0, -100.18489999993488 25.787180000356898 0, -100.18569999995486 25.786770000335423 0, -100.18551000018618 25.787310000056607 0, -100.18530999995636 25.78780999973185 0))",
Privada Tepalcatepec,PEDREGAL DEL VALLE,"POLYGON Z ((-100.20376999958569 25.798649999597956 0, -100.20302999963462 25.797790000408384 0, -100.20252000039756 25.79814000036089 0, -100.20228999968361 25.79790000008512 0, -100.20209999991494 25.797770000385356 0, -100.20205000030711 25.797710000316442 0, -100.20109999966508 25.7965899999287 0, -100.20220999959167 25.796420000183048 0, -100.20252999995938 25.79626999956099 0, -100.20289000037309 25.79611999983831 0, -100.20330000039456 25.795970000115574 0, -100.20367999993192 25.795800000369866 0, -100.2040600003686 25.795649999747866 0, -100.20589000022318 25.797120000088114 0, -100.20591999980797 25.797220000203026 0, -100.20546000017873 25.79753000010959 0, -100.205119999788 25.79775999992421 0, -100.20478999985846 25.79798999973889 0, -100.20445999992893 25.798230000014655 0, -100.20412999999934 25.79845000026745 0, -100.20384999967757 25.7986600000591 0, -100.20376999958569 25.798649999597956 0))",
Calle Tuxpan,TERESITA,"POLYGON Z ((-100.19809999981499 25.798530000359392 0, -100.19834999965263 25.798880000311954 0, -100.19860999995137 25.799239999826284 0, -100.1988500002272 25.799589999778846 0, -100.19906000001885 25.79985999963941 0, -100.19938000038655 25.800249999637913 0, -100.20045999982898 25.79981000003164 0, -100.20181999959317 25.799219999803313 0, -100.20195999975402 25.79905999961943 0, -100.20203999984597 25.79886999985075 0, -100.20209000035311 25.798069999830773 0, -100.20209999991494 25.797770000385356 0, -100.2021899995687 25.797960000154035 0, -100.20240000025967 25.79821999955351 0, -100.2075799999169 25.804369999875746 0, -100.20909000030315 25.806159999684382 0, -100.20946000027863 25.806609999751856 0, -100.21153000040903 25.809060000318937 0, -100.21160999960165 25.809149999972703 0, -100.21301999987293 25.81081000008163 0, -100.21539999990989 25.81362000016304 0, -100.21560000013977 25.81387000000069 0, -100.21593999963113 25.814259999999138 0, -100.2187099996666 25.817529999709905 0, -100.21903999959613 25.819619999863278 0, -100.21989999968508 25.81980000007013 0, -100.21962000026264 25.820950000042615 0, -100.2193599999639 25.821890000223505 0, -100.2190999996651 25.822869999551017 0, -100.21882999980448 25.823900000284937 0, -100.21864999959763 25.82384999977785 0, -100.21800000019971 25.82351999984826 0, -100.21703999999585 25.823270000010666 0, -100.21658000036655 25.823029999734842 0, -100.2162199999529 25.822819999943192 0, -100.21509999956515 25.822149999622923 0, -100.21494000028065 25.821950000292418 0, -100.21445000016723 25.82078999985879 0, -100.21404999970758 25.82051999999817 0, -100.21299000028813 25.82000999986178 0, -100.20790999984649 25.816060000268976 0, -100.20782000019273 25.81596999971589 0, -100.20751999984799 25.815450000017677 0, -100.20082000024269 25.810150000222507 0, -100.1968800002117 25.80867999988226 0, -100.19411999973806 25.80767000007063 0, -100.19384000031562 25.808249999837813 0, -100.19238000043651 25.807970000415366 0, -100.19220000022966 25.80865000029746 0, -100.19208000009178 25.808800000020142 0, -100.19195000039207 25.80884000006614 0, -100.19136000016374 25.80853000015952 0, -100.19128999963363 25.808450000067637 0, -100.19117000039506 25.807779999747368 0, -100.19080000041953 25.807199999980185 0, -100.19091000009627 25.806720000327914 0, -100.19068999984347 25.806669999820826 0, -100.19056000014376 25.805980000376906 0, -100.19046000002885 25.805499999825315 0, -100.19039999995988 25.80510999982681 0, -100.19046999959068 25.8050099997119 0, -100.19076999993541 25.804559999644425 0, -100.19097000016524 25.80410999957701 0, -100.19128999963363 25.8028699999507 0, -100.19138999974854 25.802459999929226 0, -100.1915000003246 25.802069999930723 0, -100.191019999773 25.801980000276956 0, -100.19054999968262 25.801920000207986 0, -100.18992999986943 25.801880000162043 0, -100.18951999984796 25.801869999700898 0, -100.18922999996437 25.801920000207986 0, -100.18904000019569 25.801940000231014 0, -100.18883999996586 25.80196999981581 0, -100.18793999983097 25.801249999887773 0, -100.19165000004733 25.80126000034892 0, -100.19200999956166 25.800790000258473 0, -100.19222000025263 25.80054999998265 0, -100.19271000036605 25.79993999973135 0, -100.19280000001982 25.79974999996267 0, -100.19239999956017 25.798609999552014 0, -100.1923200003676 25.798259999599452 0, -100.19226000029863 25.79781999999318 0, -100.19226000029863 25.797380000386852 0, -100.19222000025263 25.79646000022899 0, -100.19161999956316 25.79467999998218 0, -100.1913499997026 25.794729999589947 0, -100.19122999956465 25.79447000019053 0, -100.19142999979448 25.794310000006647 0, -100.19099999975003 25.792270000360418 0, -100.19058999972856 25.791470000340382 0, -100.19039000039805 25.791120000387878 0, -100.19183999981601 25.790309999906754 0, -100.19204999960766 25.790900000135082 0, -100.19251000013622 25.79168000013209 0, -100.19292999971958 25.792349999552982 0, -100.19319999958014 25.792680000381893 0, -100.19353000040905 25.793119999988164 0, -100.19448000015171 25.79443000014453 0, -100.1947700000353 25.794960000303945 0, -100.19477999959713 25.79515999963445 0, -100.19497000026513 25.795339999841303 0, -100.1954499999174 25.79578999990872 0, -100.19635000005229 25.79644000020602 0, -100.19670999956668 25.796739999651436 0, -100.19643000014423 25.797080000042115 0, -100.19682000014274 25.797559999694386 0, -100.19721000014124 25.79728000027194 0, -100.19735999986398 25.79747000004062 0, -100.19762000016271 25.797829999555006 0, -100.19786000043854 25.798169999945685 0, -100.19809999981499 25.798530000359392 0))",
Calle Tuxtla,RINCONADA COLONIAL,"POLYGON Z ((-100.19834999965263 25.798880000311954 0, -100.19809999981499 25.798530000359392 0, -100.19786000043854 25.798169999945685 0, -100.19762000016271 25.797829999555006 0, -100.19735999986398 25.79747000004062 0, -100.19721000014124 25.79728000027194 0, -100.19682000014274 25.797559999694386 0, -100.19643000014423 25.797080000042115 0, -100.19670999956668 25.796739999651436 0, -100.19635000005229 25.79644000020602 0, -100.1954499999174 25.79578999990872 0, -100.19497000026513 25.795339999841303 0, -100.19477999959713 25.79515999963445 0, -100.1947700000353 25.794960000303945 0, -100.19448000015171 25.79443000014453 0, -100.19353000040905 25.793119999988164 0, -100.19319999958014 25.792680000381893 0, -100.19292999971958 25.792349999552982 0, -100.19251000013622 25.79168000013209 0, -100.19204999960766 25.790900000135082 0, -100.19183999981601 25.790309999906754 0, -100.19181999979298 25.790160000184017 0, -100.1916999996551 25.789340000141067 0, -100.19161000000133 25.789110000326446 0, -100.19132000011774 25.788629999774855 0, -100.19119999997986 25.788469999590973 0, -100.19007999959217 25.786579999667424 0, -100.19095999970409 25.78614999962292 0, -100.19197999997687 25.785640000385854 0, -100.19265000029714 25.785279999972204 0, -100.19259999978999 25.785190000318437 0, -100.19374999976253 25.78464000013605 0, -100.19403999964612 25.784470000390343 0, -100.19401000006133 25.784399999860284 0, -100.19540999987146 25.783690000393392 0, -100.19550000042454 25.783639999886248 0, -100.19715000007227 25.782799999820327 0, -100.19700999991142 25.78244000030594 0, -100.19688999977353 25.782079999892233 0, -100.19680000011977 25.78168999989373 0, -100.19669000044303 25.781250000287457 0, -100.19686999975056 25.781210000241458 0, -100.19782000039254 25.780920000357867 0, -100.19815000032213 25.780840000265982 0, -100.19883000020417 25.780689999643926 0, -100.19910000006479 25.780579999967188 0, -100.19947999960215 25.780430000244507 0, -100.20049999987492 25.779900000085092 0, -100.20137999998684 25.779490000063618 0, -100.20220999959167 25.779329999879735 0, -100.20242999984447 25.77934000034088 0, -100.20257000000532 25.779389999948705 0, -100.202759999774 25.77938000038688 0, -100.20291999995789 25.779309999856764 0, -100.20316999979548 25.779289999833793 0, -100.2036300003241 25.779289999833793 0, -100.2048299999044 25.779369999925734 0, -100.205159999834 25.779369999925734 0, -100.2054800002017 25.779429999994647 0, -100.20544000015576 25.779730000339384 0, -100.20540000010976 25.780330000129595 0, -100.20538000008679 25.780640000036158 0, -100.20550000022467 25.780999999550488 0, -100.20568000043153 25.781210000241458 0, -100.205899999785 25.781509999686875 0, -100.20632000026762 25.782289999683883 0, -100.20647999955219 25.78257000000565 0, -100.2071600003336 25.78334000044083 0, -100.20724999998737 25.783730000439334 0, -100.20778000014673 25.78419999963046 0, -100.20882000044253 25.784760000273934 0, -100.20934000014074 25.78507999974238 0, -100.20975000016222 25.78523000036438 0, -100.21022000025266 25.78529000043335 0, -100.21123000006429 25.78542000013306 0, -100.212179999807 25.78558000031694 0, -100.21221999985295 25.785719999578475 0, -100.2120399996461 25.786499999575483 0, -100.21194999999238 25.787169999895752 0, -100.21190000038456 25.787310000056607 0, -100.21135000020217 25.789099999865243 0, -100.21133999974103 25.789179999957184 0, -100.21162999962462 25.78989999988528 0, -100.21195999955421 25.790619999813316 0, -100.20712000028766 25.793830000354376 0, -100.2040600003686 25.795649999747866 0, -100.20367999993192 25.795800000369866 0, -100.20330000039456 25.795970000115574 0, -100.20289000037309 25.79611999983831 0, -100.20252999995938 25.79626999956099 0, -100.20220999959167 25.796420000183048 0, -100.20109999966508 25.7965899999287 0, -100.20205000030711 25.797710000316442 0, -100.20209999991494 25.797770000385356 0, -100.20209000035311 25.798069999830773 0, -100.20203999984597 25.79886999985075 0, -100.20195999975402 25.79905999961943 0, -100.20181999959317 25.799219999803313 0, -100.20045999982898 25.79981000003164 0, -100.19938000038655 25.800249999637913 0, -100.19906000001885 25.79985999963941 0, -100.1988500002272 25.799589999778846 0, -100.19860999995137 25.799239999826284 0, -100.19834999965263 25.798880000311954 0))",
Calle Tamuín,FRACC EXHACIENDA SANTA ROSA,"POLYGON Z ((-100.2212200003026 25.800989999588978 0, -100.22104999965762 25.801040000096066 0, -100.21921999980299 25.801120000188007 0, -100.21923000026413 25.801249999887773 0, -100.21882999980448 25.80128000037189 0, -100.21876999973557 25.80135999956451 0, -100.2186400000358 25.801399999610453 0, -100.21849999987495 25.80132000041783 0, -100.21845000026713 25.801269999910744 0, -100.21843000024415 25.801200000279948 0, -100.21808000029165 25.801209999841774 0, -100.21502999993442 25.80134000044086 0, -100.21484000016574 25.80134000044086 0, -100.21447999975203 25.801370000025656 0, -100.21435000005232 25.801399999610453 0, -100.21428000042152 25.801269999910744 0, -100.21404000014576 25.800980000027153 0, -100.21381000033108 25.80067000012059 0, -100.21359999964011 25.800340000191 0, -100.21336999982549 25.800030000284437 0, -100.21377000028514 25.800010000261466 0, -100.21408999975353 25.79999999980032 0, -100.21396000005382 25.79981000003164 0, -100.2136900001932 25.79944000005611 0, -100.21344999991743 25.79909999966543 0, -100.21320000007978 25.798709999666926 0, -100.21287000015025 25.798290000083625 0, -100.2126600003586 25.798259999599452 0, -100.21219999982998 25.798149999922714 0, -100.21197000001536 25.79802999978483 0, -100.2117899998085 25.797670000270443 0, -100.21110000036458 25.79625000043734 0, -100.20962099960929 25.797325999695317 0, -100.20782200028492 25.79755000013256 0, -100.20591999980797 25.797220000203026 0, -100.20589000022318 25.797120000088114 0, -100.2040600003686 25.795649999747866 0, -100.20712000028766 25.793830000354376 0, -100.21195999955421 25.790619999813316 0, -100.21377499961636 25.789645999863183 0, -100.21637800004453 25.7890939995886 0, -100.21836800008299 25.789163000072563 0, -100.21859399971316 25.79317900001098 0, -100.21771999987794 25.79476000007412 0, -100.21781999999286 25.794860000189033 0, -100.22017000044502 25.795359999864274 0, -100.2228499999274 25.796010000161516 0, -100.22366999997035 25.79619000036837 0, -100.2237500000623 25.797889999623976 0, -100.22383000015424 25.799339999941196 0, -100.22389000022321 25.800380000237 0, -100.22389999978503 25.800890000373386 0, -100.22362000036259 25.80089999993521 0, -100.22159999983995 25.800989999588978 0, -100.22151999974807 25.800919999958182 0, -100.22141000007127 25.800890000373386 0, -100.22130000039454 25.800919999958182 0, -100.2212200003026 25.800989999588978 0))",
